Project_ID,Project_Name,Company_Name,Ticker,Share_Price,Final_Cap,Open_Date,Close_Date,Soft_Deadline,Hard_Deadline,Target_Total_Cap,Negotiated_Final_Cap,Status,Deal_Type,Lot_Size,Preset_Options,preset_options,Hold_Period_Months,Notes,warrant_info,deadline_date,Created_Date,Cloud_Drive_Links_JSON
P0001,WML.NE_2026-03-31,wealth mineral,WML.NE,0.1,100000.0,2026-04-01,2026-04-03,2026-04-01,2026-04-03,100000.0,0.0,分配中 (Allocating),Hot Deal,1000,"12000,16000,20000","12000,16000,20000",4,[2026-04-18 03:51:35 UTC] Status changed from '募集中 (Open)' to '分配中 (Allocating)' by unknown (Allocation Center).,,2026-04-03,2026-04-01,"[{""description"": ""公司ppt"", ""url"": ""https://drive.google.com/abcde""}]"
P0002,NFLDF_2026-04-03,exploits discovery corp,NFLDF,0.08,1000000.0,2026-04-03,2026-04-06,2026-04-03,2026-04-06,1000000.0,0.0,募集中 (Open),Hot Deal,10000,"10500,15000,20000","10500,15000,20000",4,,,2026-04-09,,
P0003,ATHA.CN_2026-04-02,ATHENA,ATHA.CN,0.07,0.0,2026-04-07,2026-04-17,2026-04-07,2026-04-17,90000.0,0.0,募集中 (Open),Soft Circle,500,"12000,15000","12000,15000",4,,,2026-04-17,,
P0004,VEIN.NE_2026-04-07,pasofino gold,VEIN.NE,0.6,90000.0,2026-04-09,2026-04-14,2026-04-09,2026-04-14,90000.0,0.0,募集中 (Open),Hot Deal,1000,"10000,15000,20000","10000,15000,20000",4,,,2026-04-09,,
P0005,VEIN.NE_2026-04-07,,VEIN.NE,0.5,0.0,2026-04-07,2026-04-07,2026-04-07,2026-04-07,0.0,0.0,募集中 (Open),Soft Circle,1000,"10000,15000,20000","10000,15000,20000",4,,,2026-04-07,,
CCINE-2605-01,CCI.NE_2026-05-10,canadian copper,CCI.NE,0.2,0.0,2026-05-10,2026-05-10,2026-05-10,2026-05-10,0.0,0.0,关账中 (Closing),Soft Circle,1,"12000,18000","12000,18000",4,"[2026-05-11 18:47:35 UTC] Status changed from '募集中 (Open)' to '关账中 (Closing)' by system (Closing: batch email preview generated).
[2026-05-11 18:48:20 UTC] Status changed from '关账中 (Closing)' to '分配中 (Allocating)' by unknown (Allocation Center).
[2026-05-11 18:48:40 UTC] Status changed from '分配中 (Allocating)' to '关账中 (Closing)' by system (Closing: batch email preview generated).
[2026-05-11 18:55:20 UTC] Status changed from '关账中 (Closing)' to '分配中 (Allocating)' by unknown (Allocation Center).
[2026-05-11 18:56:19 UTC] Status changed from '分配中 (Allocating)' to '关账中 (Closing)' by system (Closing: batch email preview generated).","每股附赠0.5个warrant, warrant的执行价$0.25/股，有效期12个月",2026-05-10,2026-05-10,"[{""description"": ""CCI Presentation"", ""url"": ""https://drive.google.com/file/d/1ln0ejWp6muC9HmU-_hrkZ6umfzBZmmSx/view?usp=sharing""}, {""description"": ""Clients Infor"", ""url"": ""https://drive.google.com/file/d/1gHbFeKjbsmAFqLC4hyqVE3XiGJCwIiWJ/view?usp=drive_link""}, {""description"": ""EDE Relationship Disclosure Information"", ""url"": ""https://drive.google.com/file/d/1GxiHn5zNz0snda1LfvnkSiNaOHTIC7us/view?usp=drive_link""}, {""description"": ""MNRG Presentation"", ""url"": ""https://drive.google.com/file/d/1TQrMjJ1QDbVofcTaFHG17g_Zk_tc5QED/view?usp=drive_link""}]"
